,no2,o3,pm10,pm25,so2,temp,dew,humidity,windspeed,winddir
2014-12-29,0.506514657980456,0.06783919597989951,0.2054933875890132,0.506398537477148,0.12376237623762378,0.12804878048780494,0.23684210526315785,0.8151260504201683,0.029233870967741927,0.2113587347232207
2014-12-30,0.51628664495114,0.10804020100502512,0.31943031536113936,0.6160877513711152,0.20297029702970293,0.10365853658536589,0.24060150375939848,0.8571428571428572,0.029233870967741927,0.5046728971962617
2014-12-31,0.38436482084690554,0.1834170854271357,0.12309257375381485,0.31444241316270566,0.2277227722772277,0.16463414634146345,0.2706766917293233,0.7779111644657863,0.06552419354838708,0.21028037383177567
2015-01-01,1.0,0.11809045226130654,0.21770091556459817,0.6435100548446069,0.40594059405940597,0.23475609756097565,0.3195488721804511,0.7334933973589435,0.020161290322580645,0.23831775700934577
2015-01-02,0.4690553745928339,0.13819095477386936,0.06612410986775177,0.2595978062157221,0.12376237623762378,0.23780487804878053,0.40601503759398494,0.8475390156062426,0.029233870967741927,0.16930265995686555
2015-01-03,0.36970684039087953,0.11809045226130654,0.08341810783316378,0.27239488117001825,0.19306930693069302,0.24695121951219512,0.44360902255639095,0.8919567827130852,0.020161290322580645,0.5370237239396118
2015-01-04,0.234527687296417,0.135678391959799,0.10579857578840285,0.3016453382084095,0.04455445544554455,0.2103658536585366,0.3383458646616541,0.7899159663865547,0.05645161290322581,0.7225017972681523
2015-01-05,0.22801302931596096,0.19849246231155782,0.09969481180061038,0.28336380255941496,0.0396039603960396,0.19817073170731708,0.24812030075187969,0.6914765906362546,0.09778225806451613,0.9148094895758447
2015-01-06,0.3469055374592834,0.15829145728643215,0.13123092573753814,0.32541133455210236,0.08910891089108912,0.15243902439024393,0.2706766917293233,0.7923169267707084,0.031754032258064516,0.7167505391804457
2015-01-07,0.36319218241042345,0.10552763819095479,0.18514750762970497,0.4753199268738574,0.12871287128712872,0.09451219512195119,0.2443609022556391,0.8763505402160865,0.03830645161290322,0.684040258806614
2015-01-08,0.4071661237785017,0.08040201005025127,0.17192268565615462,0.43327239488117,0.11881188118811879,0.0701219512195122,0.24060150375939848,0.9171668667466988,0.034274193548387094,0.6951833213515457
2015-01-09,0.5472312703583062,0.10050251256281408,0.254323499491353,0.5356489945155393,0.07425742574257428,0.09756097560975613,0.22932330827067665,0.8463385354141657,0.011088709677419348,0.6452192667145938
2015-01-10,0.45114006514657984,0.15326633165829145,0.17090539165818922,0.43875685557586835,0.19306930693069302,0.14634146341463417,0.20300751879699247,0.7346938775510206,0.043346774193548376,0.7505391804457225
2015-01-11,0.3583061889250815,0.13316582914572864,0.20956256358087486,0.4954296160877514,0.08910891089108912,0.11280487804878053,0.2443609022556391,0.8343337334933973,0.03830645161290322,0.5057512580877067
2015-01-12,0.5879478827361564,0.10804020100502512,0.2868769074262462,0.6361974405850092,0.19801980198019803,0.12195121951219512,0.2518796992481203,0.8295318127250901,0.03830645161290322,0.26204169662113586
2015-01-13,0.6775244299674267,0.20351758793969849,0.17090539165818922,0.48811700182815354,0.11881188118811879,0.14329268292682928,0.2556390977443609,0.8175270108043218,0.06552419354838708,0.2875629043853343
2015-01-14,0.5407166123778501,0.24120603015075376,0.13936927772126143,0.4040219378427788,0.15346534653465344,0.17073170731707316,0.32706766917293234,0.8475390156062426,0.06552419354838708,0.2649173256649892
2015-01-15,0.5390879478827362,0.10804020100502512,0.16887080366225837,0.4424131627056673,0.24752475247524752,0.1402439024390244,0.2443609022556391,0.7995198079231691,0.029233870967741927,0.5035945363048168
2015-01-16,0.40879478827361565,0.11306532663316585,0.16887080366225837,0.4405850091407678,0.13861386138613863,0.17682926829268297,0.3308270676691729,0.8595438175270109,0.035282258064516125,0.6779295470884257
2015-01-17,0.493485342019544,0.12814070351758794,0.18107833163784331,0.44424131627056673,0.15346534653465344,0.19207317073170738,0.32706766917293234,0.8115246098439375,0.03830645161290322,0.4737598849748382
2015-01-18,0.5146579804560261,0.135678391959799,0.15869786368260427,0.41681901279707495,0.14356435643564353,0.20121951219512196,0.24812030075187969,0.7082833133253301,0.047379032258064516,0.41552839683680803
2015-01-19,0.5798045602605864,0.08793969849246232,0.18514750762970497,0.4405850091407678,0.13366336633663367,0.20121951219512196,0.2669172932330827,0.73109243697479,0.04183467741935483,0.49460819554277496
2015-01-20,0.493485342019544,0.221105527638191,0.1790437436419125,0.4643510054844606,0.2821782178217822,0.1890243902439025,0.34210526315789475,0.8379351740696279,0.05645161290322581,0.34615384615384615
2015-01-21,0.4690553745928339,0.15326633165829145,0.1627670396744659,0.41133455210237657,0.39108910891089105,0.19207317073170738,0.3383458646616541,0.8283313325330133,0.15322580645161288,0.25089863407620416
2015-01-22,0.4006514657980456,0.06783919597989951,0.13326551373346895,0.3601462522851919,0.25742574257425743,0.1890243902439025,0.37969924812030076,0.9075630252100841,0.047379032258064516,0.291157440690151
2015-01-23,0.33224755700325737,0.15829145728643215,0.08443540183112919,0.263254113345521,0.2772277227722772,0.2408536585365854,0.43609022556390975,0.8931572629051623,0.03830645161290322,0.5977713874910137
2015-01-24,0.22312703583061894,0.20603015075376885,0.08036622583926756,0.263254113345521,0.12871287128712872,0.17073170731707316,0.3383458646616541,0.8643457382953181,0.047379032258064516,0.9223580158159599
2015-01-25,0.254071661237785,0.2135678391959799,0.10986775178026448,0.2961608775137111,0.18316831683168316,0.17073170731707316,0.2969924812030075,0.8175270108043218,0.047379032258064516,0.7429906542056075
2015-01-26,0.3208469055374593,0.135678391959799,0.10885045778229907,0.3071297989031078,0.1683168316831683,0.2042682926829269,0.39097744360902253,0.8907563025210086,0.03830645161290322,0.4572250179726815
2015-01-27,0.28175895765472314,0.2763819095477387,0.11495422177009154,0.3053016453382084,0.07425742574257428,0.19817073170731708,0.3195488721804511,0.7923169267707084,0.05645161290322581,0.7951114306254493
2015-01-28,0.2605863192182411,0.2663316582914573,0.11291963377416073,0.3180987202925046,0.13861386138613863,0.12804878048780494,0.2443609022556391,0.8139255702280912,0.06552419354838708,0.8921639108554995
2015-01-29,0.4250814332247557,0.14824120603015079,0.12309257375381485,0.32541133455210236,0.18316831683168316,0.13719512195121952,0.17293233082706766,0.7166866746698679,0.06552419354838708,0.782530553558591
2015-01-30,0.48045602605863197,0.1884422110552764,0.1200406917599186,0.3016453382084095,0.2178217821782178,0.16158536585365857,0.15413533834586465,0.6290516206482595,0.08921370967741936,0.8497483824586629
2015-01-31,0.4674267100977198,0.2185929648241206,0.1200406917599186,0.28336380255941496,0.2673267326732673,0.19207317073170738,0.16541353383458646,0.6086434573829533,0.07812499999999999,0.7038102084831057
2015-02-01,0.485342019543974,0.20603015075376885,0.17599186164801625,0.5009140767824497,0.25742574257425743,0.25304878048780494,0.24812030075187969,0.6338535414165667,0.03981854838709677,0.28001437814521923
2015-02-02,0.49837133550488605,0.35678391959798994,0.15055951169888096,0.36745886654478976,0.1782178217821782,0.3170731707317073,0.3947368421052631,0.6890756302521008,0.08518145161290322,0.27785765636232923
2015-02-03,0.3355048859934854,0.4748743718592965,0.11291963377416073,0.30347349177330896,0.12871287128712872,0.3170731707317073,0.424812030075188,0.7214885954381753,0.07610887096774192,0.6085549964054637
2015-02-04,0.30944625407166126,0.2135678391959799,0.08952187182095625,0.2705667276051188,0.04950495049504951,0.23780487804878053,0.3571428571428571,0.7959183673469388,0.06552419354838708,0.9162473040977714
2015-02-05,0.30944625407166126,0.2663316582914573,0.08952187182095625,0.26873857404021934,0.13366336633663367,0.2408536585365854,0.24060150375939848,0.6422569027611045,0.06552419354838708,0.8227893601725379
2015-02-06,0.7247557003257329,0.14321608040201006,0.15462868769074262,0.3290676416819013,0.24257425742574257,0.2682926829268293,0.19172932330827067,0.5390156062424969,0.029233870967741927,0.39180445722501794
2015-02-07,0.6091205211726384,0.15577889447236182,0.11698880976602238,0.36380255941499084,0.11881188118811879,0.29878048780487804,0.2932330827067669,0.6038415366146459,0.029233870967741927,0.0869877785765636
2015-02-08,0.5879478827361564,0.13316582914572864,0.1373346897253306,0.3272394881170018,0.12871287128712872,0.31097560975609767,0.2518796992481203,0.5330132052821128,0.03830645161290322,0.582314881380302
2015-02-09,0.485342019543974,0.13819095477386936,0.11393692777212613,0.23765996343692872,0.2128712871287129,0.3323170731707317,0.2857142857142857,0.5378151260504203,0.07459677419354838,0.9450035945363049
2015-02-10,0.3566775244299675,0.19095477386934673,0.11088504577822988,0.26142595978062155,0.2227722772277228,0.2896341463414635,0.2857142857142857,0.624249699879952,0.047379032258064516,0.8091301222142344
2015-02-11,0.5716612377850163,0.1457286432160804,0.13123092573753814,0.31444241316270566,0.3069306930693069,0.2896341463414635,0.3195488721804511,0.6458583433373348,0.03830645161290322,0.4795111430625449
2015-02-12,0.43322475570032576,0.13819095477386936,0.16683621566632756,0.36928702010968917,0.3613861386138614,0.27439024390243905,0.3308270676691729,0.6866746698679473,0.08518145161290322,0.598490294751977
2015-02-13,0.3517915309446254,0.2537688442211055,0.12614445574771108,0.29981718464351004,0.32673267326732675,0.31097560975609767,0.23684210526315785,0.5414165666266506,0.08518145161290322,0.6865564342199856
